"","min","nb_0","% 0","max","nb_1","1st quart","median","3rd quart","% de rh98>25","nb_rows_tot","nb_rows","% NA"
"Angolan_mopane","2.13","0","0","29.96","0","2.92","3.7","5.18","0.00011","1.5092e+06","1.5092e+06","0.1"
"Angolan_wet","1.01","0","0","29.98","0","3.34","5.46","8.5","0.00037","1.993e+06","1.993e+06","0.04"
"Campos_Rupestres","2.5","0","0","27.56","0","4.21","5","6.55","0.00178","1.7e+03","1.7e+03","0.06"
"Central_bushveld","2.17","0","0","29.99","0","3.28","4.15","5.28","5e-05","7.235e+05","7.235e+05","0.21"
"Central_Zambezian","1.01","0","0","29.93","0","4.9","8.46","11.62","0.00017","6.798e+05","6.798e+05","0.02"
"Drakensberg_Escarpment","2.24","0","0","29.95","0","3.45","4.52","6.33","0.0012","6.23e+04","6.23e+04","0.43"
"Drakensberg_grasslands","1.79","0","0","29.95","0","2.98","4.02","6.01","0.00101","2.539e+05","2.539e+05","0.45"
"Dry_miombo","1.19","0","0","29.98","0","4.91","7.52","9.99","0.00068","1.757e+06","1.757e+06","0.05"
"East_Sudanian","1.04","0","0","29.94","0","5.43","7.66","10","0.00026","1.6613e+06","1.6613e+06","0.11"
"Guinean_forest-savanna","1.01","0","0","29.99","0","5.6","8.25","11.2","0.00198","3.4765e+06","3.4765e+06","0.04"
"Horn_of","2.24","0","0","27.6","0","2.57","3.02","5.59","5e-04","6e+03","6e+03","0.03"
"Itigi-Sumbu_thicket","2.28","0","0","18.42","0","2.89","5.6","7.88","0","4e+02","4e+02","0"
"Kalahari_Acacia","2.23","0","0","28.99","0","3","3.4","3.99","0","4.592e+05","4.592e+05","0.01"
"Mandara_Plateau","2.21","0","0","29.91","0","4.24","6.17","8.52","0.00041","2.92e+04","2.92e+04","0.02"
"Masai_xeric","2.17","0","0","25.521","0","2.5","2.69","3.22","2e-05","5.78e+04","5.78e+04","0.4"
"Northern_Congolian","1.19","0","0","29.98","0","6.51","8.62","10.85","0.00154","4.1e+05","4.1e+05","0.15"
"Sahelian_Acacia","1.34","0","0","29.98","0","2.5","2.62","2.93","1e-05","2.25452e+07","2.25452e+07","0.04"
"Serengeti_volcanic","2.27","0","0","13.51","0","2.54","2.84","3.63","0","1.2e+03","1.2e+03","0"
"Southern_Congolian","1.08","0","0","29.92","0","2.54","2.85","4.03","0.00041","4.91e+04","4.91e+04","0.01"
"West_Sudanian","1.04","0","0","29.96","0","3.49","5.55","8.12","2e-04","7.0162e+06","7.0162e+06","0.01"
"Western_Congolian","1.08","0","0","29.94","0","3.05","4.02","6.13","0.00108","3.423e+05","3.423e+05","0.14"
"Zambezian-Limpopo_mixed","1.31","0","0","29.88","0","3.97","5.4","7.36","0.00013","1.156e+06","1.156e+06","0.13"
"Zambezian_Baikiaea","1.12","0","0","29.64","0","4.45","6.83","8.99","1e-05","2.544e+06","2.544e+06","0.01"
"Zambezian_mopane","1.01","0","0","29.95","0","3.76","5.16","7.47","0.00025","2.0477e+06","2.0477e+06","0.2"
